Sex,EE_kJH,H2Og,RQ,Animal_ID,Deg_C,weight,experiment,StartTime,SD_VCO2,SD_VO2,SD_H2Omg,VO2,VCO2,StartDate,TimeOfDay,hour,,
Female,0.468562954,0.248153867,0.984269474,1006,32.70535,17.6,baseline,11:32:47,0.01459632,0.02367193,0.005531491,0.3708522,0.3650185,2/20/20,light,11,,
Female,0.242715351,0.136576552,1.087960358,27,32.62652,21.1,baseline,11:36:47,0.01052514,0.01519937,0.003086794,0.1878187,0.2043393,2/20/20,light,11,,
Female,0.267466463,0.199195215,1.201482871,2,32.59327,15.4,baseline,11:40:47,0.009233057,0.01654512,0.002431047,0.2020405,0.2427482,2/20/20,light,11,,
Female,0.35175489,0.205520453,1.236580342,51,32.53897,23.1,baseline,11:44:47,0.01278396,0.01325364,0.002611581,0.2637679,0.3261702,2/20/20,light,11,,
Female,0.172113714,0.092072875,1.230235428,97,32.53508,21.8,baseline,11:48:47,0.01057302,0.01251375,0.001778371,0.1292325,0.1589864,2/20/20,light,11,,
Female,0.32877617,0.177754629,1.114953117,75,32.59802,22.6,baseline,11:52:47,0.007169833,0.02205512,0.001728654,0.2529466,0.2820236,2/20/20,light,11,,
Female,0.222912391,0.161621578,1.265195462,14,32.65195,20.1,baseline,11:56:47,0.009810247,0.02119088,0.001375461,0.1661631,0.2102288,2/20/20,light,11,,
Female,0.329988465,0.229846906,1.014745425,1006,32.69014,17.6,baseline,12:00:47,0.01118299,0.01272052,0.001788536,0.2594364,0.2632619,2/20/20,light,12,,
Female,0.225852021,0.158708527,1.188134773,14,32.72902,20.1,baseline,12:04:47,0.01209623,0.01728275,0.001809213,0.1710848,0.2032718,2/20/20,light,12,,
Female,0.251851539,0.132703784,1.211416523,27,32.648,21.1,baseline,12:08:47,0.01005402,0.01999297,0.002193165,0.1898494,0.2299867,2/20/20,light,12,,
Female,0.55434014,0.217338554,1.117411095,2,32.6055,15.4,baseline,12:12:47,0.0273872,0.01581534,0.002260776,0.4262621,0.47631,2/20/20,light,12,,
Female,0.2606574,0.091099401,1.059175586,97,32.61255,21.8,baseline,12:16:47,0.02735822,0.02738999,0.001752969,0.2029587,0.2149689,2/20/20,light,12,,
Female,0.378927523,0.169365045,1.111455014,75,32.6564,22.6,baseline,12:20:47,0.008116467,0.01928848,0.002854089,0.2917491,0.324266,2/20/20,light,12,,
Female,0.758048853,0.230080194,1.095272837,51,32.71793,23.1,baseline,12:24:47,0.01720203,0.01466903,0.002030398,0.5856748,0.6414737,2/20/20,light,12,,
Female,0.33020823,0.166988546,1.116378248,75,32.75599,22.6,baseline,12:28:47,0.009314021,0.02112947,0.002262695,0.253971,0.2835277,2/20/20,light,12,,
Female,0.236622889,0.084661323,0.998864903,97,32.6898,21.8,baseline,12:32:47,0.02087242,0.02868442,0.001294971,0.1866801,0.1864682,2/20/20,light,12,,
Female,0.588708382,0.231815746,1.021143862,51,32.7078,23.1,baseline,12:36:47,0.01195425,0.01373929,0.002395955,0.4621956,0.4719682,2/20/20,light,12,,
Female,0.259478389,0.145732358,1.152043683,14,32.70452,20.1,baseline,12:40:47,0.01000527,0.01958459,0.001636882,0.1980615,0.2281755,2/20/20,light,12,,
Female,0.279294562,0.209584233,1.266432719,2,32.57717,15.4,baseline,12:44:47,0.007622041,0.01250255,0.002065451,0.2081381,0.2635929,2/20/20,light,12,,
Female,0.218480861,0.189497379,1.176398296,1006,32.50748,17.6,baseline,12:48:47,0.008449527,0.02087079,0.001780929,0.1659109,0.1951773,2/20/20,light,12,,
Female,0.254035556,0.134873766,1.182513417,14,32.64265,20.1,baseline,12:56:47,0.03000928,0.006873844,0.008401121,0.192662,0.2278254,2/20/20,light,12,,
Female,0.368498902,0.219828131,1.124160852,51,32.76785,23.1,baseline,13:00:47,0.03115052,0.01398362,0.01119494,0.2829507,0.3180821,2/20/20,light,13,,
Female,0.36155747,0.159652428,1.16150443,75,32.76714,22.6,baseline,13:04:47,0.01147844,0.01596579,0.002441246,0.2754265,0.3199091,2/20/20,light,13,,
Female,0.475812995,0.176426014,0.985748851,1006,32.73692,17.6,baseline,13:08:47,0.01475157,0.01603552,0.002093513,0.3764679,0.3711028,2/20/20,light,13,,
Female,0.403319772,0.18349277,1.199236957,2,32.72572,15.4,baseline,13:12:47,0.01279345,0.02700602,0.002617007,0.3048059,0.3655345,2/20/20,light,13,,
Female,0.212624504,0.091919268,1.101802853,97,32.7071,21.8,baseline,13:16:47,0.007421518,0.01078772,0.001109264,0.1640455,0.1807458,2/20/20,light,13,,
Female,0.317066486,0.12723025,1.194908576,27,32.62975,21.1,baseline,13:20:47,0.03550974,0.03332482,0.002047055,0.2398386,0.2865852,2/20/20,light,13,,
Female,0.522016836,0.213350951,1.083750892,51,32.57769,23.1,baseline,13:24:47,0.02181,0.02353868,0.002504996,0.4043145,0.4381762,2/20/20,light,13,,
Female,0.268596363,0.128075854,1.094652595,27,32.62558,21.1,baseline,13:28:47,0.01719745,0.02364275,0.00167384,0.2075474,0.2271923,2/20/20,light,13,,
Female,0.194654457,0.168708903,1.17528936,1006,32.6684,17.6,baseline,13:32:47,0.01021075,0.02093654,0.001811512,0.1478521,0.173769,2/20/20,light,13,,
Female,0.294478451,0.122630331,1.073374717,14,32.73037,20.1,baseline,13:36:47,0.01086985,0.02342222,0.002483045,0.228591,0.2453638,2/20/20,light,13,,
Female,0.359312825,0.149460935,1.177102947,75,32.68442,22.6,baseline,13:40:47,0.01000387,0.0110638,0.00218713,0.2728159,0.3211324,2/20/20,light,13,,
Female,0.295349407,0.164153327,1.172478375,2,32.658,15.4,baseline,13:44:47,0.01031519,0.01314273,0.002102589,0.2244693,0.2631854,2/20/20,light,13,,
Female,0.197798125,0.088529284,1.209596407,97,32.63777,21.8,baseline,13:48:47,0.01127656,0.01398248,0.001913787,0.14916,0.1804234,2/20/20,light,13,,
Female,0.256675197,0.164182268,1.365303186,2,32.66542,15.4,baseline,13:52:47,0.01558264,0.02981825,0.001699974,0.1874443,0.2559183,2/20/20,light,13,,
Female,0.434953035,0.198521192,1.149158187,51,32.66669,23.1,baseline,13:56:47,0.009939317,0.01606038,0.002724746,0.3322057,0.3817569,2/20/20,light,13,,
Female,0.284871408,0.113823268,1.227762939,14,32.65734,20.1,baseline,14:00:47,0.01129025,0.01194539,0.00318142,0.2140076,0.2627506,2/20/20,light,14,,
Female,0.376434229,0.137227422,1.181940731,75,32.69407,22.6,baseline,14:04:47,0.01070825,0.01569779,0.00165009,0.2855243,0.3374728,2/20/20,light,14,,
Female,0.313781112,0.133788672,1.185907429,27,32.70002,21.1,baseline,14:08:47,0.02889375,0.02782692,0.001362077,0.2378033,0.2820127,2/20/20,light,14,,
Female,0.189649827,0.154433784,1.247956125,1006,32.65664,17.6,baseline,14:12:47,0.01017845,0.01620952,0.001674379,0.1418751,0.1770539,2/20/20,light,14,,
Female,0.238340144,0.081601622,1.03583951,97,32.68302,21.8,baseline,14:16:47,0.02269571,0.04157837,0.001871822,0.1865232,0.1932081,2/20/20,light,14,,
Female,0.334302214,0.147287956,1.140888599,2,32.7348,15.4,baseline,14:20:47,0.00868927,0.01903024,0.001665781,0.2557801,0.2918166,2/20/20,light,14,,
Female,0.280007123,0.107056571,1.185820629,14,32.76344,20.1,baseline,14:24:47,0.01199206,0.02371928,0.001978246,0.2122111,0.2516443,2/20/20,light,14,,
Female,0.494955295,0.175730181,1.051813229,51,32.76937,23.1,baseline,14:28:47,0.008485393,0.01311246,0.002211064,0.3860076,0.4060079,2/20/20,light,14,,
Female,0.476524565,0.152657508,0.878644542,1006,32.65073,17.6,baseline,14:32:47,0.01774976,0.02106425,0.001227884,0.3861219,0.3392639,2/20/20,light,14,,
Female,0.468959549,0.131482252,1.073460037,75,32.58527,22.6,baseline,14:36:47,0.01177069,0.01647053,8.27E-04,0.3640265,0.3907679,2/20/20,light,14,,
Female,0.177102152,0.078646688,1.136974382,97,32.58967,21.8,baseline,14:40:47,0.01851677,0.0168712,0.001699093,0.1356166,0.1541926,2/20/20,light,14,,
Female,0.281510658,0.122127371,0.959909181,27,32.6329,21.1,baseline,14:44:47,0.009087907,0.01616929,0.002285768,0.2240064,0.2150258,2/20/20,light,14,,
Female,0.594200502,0.164006449,0.995431415,51,32.62695,23.1,baseline,14:48:47,0.01840677,0.02332146,0.002400971,0.4691387,0.4669954,2/20/20,light,14,,
Female,0.236137441,0.150666239,1.039525289,1006,32.59044,17.6,baseline,14:52:47,0.009708939,0.02562122,0.002394056,0.1846514,0.1919498,2/20/20,light,14,,
Female,0.384192445,0.107134816,1.093933764,14,32.60384,20.1,baseline,14:56:47,0.0118369,0.0172573,0.002234838,0.2969156,0.324806,2/20/20,light,14,,
Female,0.455210705,0.245725687,1.002251541,1006,32.70535,17.6,baseline,15:02:48,0.01461769,0.02426501,0.005533733,0.3588653,0.3596733,2/20/20,light,15,,
Female,0.24312646,0.136576448,1.085561634,27,32.62652,21.1,baseline,15:06:48,0.01052518,0.01519723,0.00308679,0.1882339,0.2043395,2/20/20,light,15,,
Female,0.267444683,0.199195215,1.201613714,2,32.59327,15.4,baseline,15:10:48,0.009233048,0.0165473,0.002431047,0.2020185,0.2427482,2/20/20,light,15,,
Female,0.35175489,0.205520556,1.236580342,51,32.53897,23.1,baseline,15:14:48,0.01278396,0.01325364,0.002611588,0.2637679,0.3261702,2/20/20,light,15,,
Female,0.172113714,0.092072875,1.230235428,97,32.53508,21.8,baseline,15:18:48,0.01057302,0.01251375,0.001778371,0.1292325,0.1589864,2/20/20,light,15,,
Female,0.328776071,0.177754629,1.114953557,75,32.59802,22.6,baseline,15:22:48,0.007169837,0.02205512,0.001728654,0.2529465,0.2820236,2/20/20,light,15,,
Female,0.222912391,0.161621578,1.265195462,14,32.65195,20.1,baseline,15:26:48,0.009810247,0.02119088,0.001375445,0.1661631,0.2102288,2/20/20,light,15,,
Female,0.329988465,0.229846906,1.014745425,1006,32.69014,17.6,baseline,15:30:48,0.01118299,0.01272052,0.00178854,0.2594364,0.2632619,2/20/20,light,15,,
Female,0.225852021,0.158708527,1.188134773,14,32.72902,20.1,baseline,15:34:48,0.01209623,0.01728275,0.001809216,0.1710848,0.2032718,2/20/20,light,15,,
Female,0.251851539,0.132703784,1.211416523,27,32.648,21.1,baseline,15:38:48,0.01005402,0.01999386,0.002193151,0.1898494,0.2299867,2/20/20,light,15,,
Female,0.55434014,0.217338554,1.117411095,2,32.6055,15.4,baseline,15:42:48,0.0273872,0.01581534,0.002260781,0.4262621,0.47631,2/20/20,light,15,,
Female,0.2606574,0.091099339,1.059175586,97,32.61255,21.8,baseline,15:46:48,0.02735822,0.02738999,0.001752994,0.2029587,0.2149689,2/20/20,light,15,,
Female,0.378927523,0.169365045,1.111455014,75,32.6564,22.6,baseline,15:50:48,0.008116467,0.01928848,0.002854089,0.2917491,0.324266,2/20/20,light,15,,
Female,0.758048853,0.230080194,1.095272837,51,32.71793,23.1,baseline,15:54:48,0.01720201,0.01466903,0.002030392,0.5856748,0.6414737,2/20/20,light,15,,
Female,0.33020823,0.166988546,1.116378248,75,32.75599,22.6,baseline,15:58:48,0.00931402,0.02112947,0.002262716,0.253971,0.2835277,2/20/20,light,15,,
Female,0.236622889,0.084661323,0.998864903,97,32.6898,21.8,baseline,16:02:48,0.02087243,0.02868442,0.001294971,0.1866801,0.1864682,2/20/20,light,16,,
Female,0.588708382,0.231815746,1.021143862,51,32.7078,23.1,baseline,16:06:48,0.01195425,0.01373929,0.002395955,0.4621956,0.4719682,2/20/20,light,16,,
Female,0.259478417,0.145732358,1.152044188,14,32.70452,20.1,baseline,16:10:48,0.01000529,0.01958459,0.001636883,0.1980615,0.2281756,2/20/20,light,16,,
Female,0.279294562,0.209584233,1.266432719,2,32.57717,15.4,baseline,16:14:48,0.007622046,0.01250255,0.002065455,0.2081381,0.2635929,2/20/20,light,16,,
Female,0.218480861,0.189497379,1.176398296,1006,32.50748,17.6,baseline,16:18:48,0.008449527,0.02087079,0.001780929,0.1659109,0.1951773,2/20/20,light,16,,
Female,0.254035556,0.134873766,1.182513417,14,32.64265,20.1,baseline,16:26:48,0.03000926,0.006873846,0.00840112,0.192662,0.2278254,2/20/20,light,16,,
Female,0.368498902,0.219828131,1.124160852,51,32.76785,23.1,baseline,16:30:48,0.03115052,0.01398362,0.01119492,0.2829507,0.3180821,2/20/20,light,16,,
Female,0.36155747,0.159652428,1.16150443,75,32.76714,22.6,baseline,16:34:48,0.01147844,0.01596579,0.002441246,0.2754265,0.3199091,2/20/20,light,16,,
Female,0.475813094,0.176426014,0.98574859,1006,32.73692,17.6,baseline,16:38:48,0.01475157,0.01603552,0.0020935,0.376468,0.3711028,2/20/20,light,16,,
Female,0.403319772,0.18349277,1.199236957,2,32.72572,15.4,baseline,16:42:48,0.01279347,0.02700602,0.002617021,0.3048059,0.3655345,2/20/20,light,16,,
Female,0.212624504,0.091919268,1.101802853,97,32.7071,21.8,baseline,16:46:48,0.007421515,0.01078772,0.00110926,0.1640455,0.1807458,2/20/20,light,16,,
Female,0.317066486,0.127230353,1.194908576,27,32.62975,21.1,baseline,16:50:48,0.03550975,0.03332483,0.002047046,0.2398386,0.2865852,2/20/20,light,16,,
Female,0.522016836,0.213350951,1.083750892,51,32.57769,23.1,baseline,16:54:48,0.02181,0.02353868,0.002504997,0.4043145,0.4381762,2/20/20,light,16,,
Female,0.268596363,0.128075854,1.094652595,27,32.62558,21.1,baseline,16:58:48,0.01719745,0.02364275,0.001673834,0.2075474,0.2271923,2/20/20,light,16,,
Female,0.194654457,0.168708903,1.17528936,1006,32.6684,17.6,baseline,17:02:48,0.01021074,0.02093654,0.001811523,0.1478521,0.173769,2/20/20,light,17,,
Female,0.294478451,0.122630331,1.073374717,14,32.73037,20.1,baseline,17:06:48,0.01086985,0.02342222,0.002483045,0.228591,0.2453638,2/20/20,light,17,,
Female,0.359312825,0.149460935,1.177102947,75,32.68442,22.6,baseline,17:10:48,0.01000388,0.0110638,0.002187129,0.2728159,0.3211324,2/20/20,light,17,,
Female,0.295349407,0.164153327,1.172478375,2,32.658,15.4,baseline,17:14:48,0.01031519,0.01314273,0.002102589,0.2244693,0.2631854,2/20/20,light,17,,
Female,0.197798719,0.088529284,1.209591541,97,32.63777,21.8,baseline,17:18:48,0.01127656,0.01398325,0.00191377,0.1491606,0.1804234,2/20/20,light,17,,
Female,0.256675197,0.164182268,1.365303186,2,32.66542,15.4,baseline,17:22:48,0.01558264,0.02981825,0.001699972,0.1874443,0.2559183,2/20/20,light,17,,
Female,0.434953035,0.198521192,1.149158187,51,32.66669,23.1,baseline,17:26:48,0.009939303,0.01606037,0.002724751,0.3322057,0.3817569,2/20/20,light,17,,
Female,0.284870319,0.113823268,1.22776925,14,32.65734,20.1,baseline,17:30:48,0.01129026,0.01194556,0.00318142,0.2140065,0.2627506,2/20/20,light,17,,
Female,0.376434229,0.137227422,1.181940731,75,32.69407,22.6,baseline,17:34:48,0.01070825,0.01569779,0.001650081,0.2855243,0.3374728,2/20/20,light,17,,
Female,0.313781112,0.133788672,1.185907429,27,32.70002,21.1,baseline,17:38:48,0.02889376,0.02782692,0.001362069,0.2378033,0.2820127,2/20/20,light,17,,
Female,0.189649827,0.154433784,1.247956125,1006,32.65664,17.6,baseline,17:42:48,0.01017846,0.01620952,0.001674378,0.1418751,0.1770539,2/20/20,light,17,,
Female,0.238340144,0.081601622,1.03583951,97,32.68302,21.8,baseline,17:46:48,0.02269571,0.04157837,0.001871824,0.1865232,0.1932081,2/20/20,light,17,,
Female,0.334302214,0.147287956,1.140888599,2,32.7348,15.4,baseline,17:50:48,0.008689276,0.01903024,0.001665782,0.2557801,0.2918166,2/20/20,light,17,,
Female,0.280007123,0.107056571,1.185820629,14,32.76344,20.1,baseline,17:54:48,0.01199206,0.02371928,0.001978254,0.2122111,0.2516443,2/20/20,light,17,,
Female,0.494955295,0.175730181,1.051813229,51,32.76937,23.1,baseline,17:58:48,0.008485392,0.01311246,0.002211062,0.3860076,0.4060079,2/20/20,light,17,,
Female,0.476524565,0.152657508,0.878644542,1006,32.65073,17.6,baseline,18:02:48,0.01774977,0.02106425,0.001227901,0.3861219,0.3392639,2/20/20,light,18,,
Female,0.468959522,0.131482252,1.073459762,75,32.58527,22.6,baseline,18:06:48,0.01177069,0.01647053,8.27E-04,0.3640265,0.3907678,2/20/20,light,18,,
Female,0.177102647,0.078646678,1.13697019,97,32.58967,21.8,baseline,18:10:48,0.01851679,0.01687194,0.001699092,0.1356171,0.1541926,2/20/20,light,18,,
Female,0.281510658,0.122127371,0.959909181,27,32.6329,21.1,baseline,18:14:48,0.009087908,0.01616929,0.002285766,0.2240064,0.2150258,2/20/20,light,18,,
Female,0.594195552,0.164006449,0.995442024,51,32.62695,23.1,baseline,18:18:48,0.01840677,0.02332299,0.00240095,0.4691337,0.4669954,2/20/20,light,18,,
Female,0.23639501,0.150521946,1.03806688,1006,32.59044,17.6,baseline,18:22:48,0.009708919,0.02560491,0.002369069,0.1849114,0.1919504,2/20/20,light,18,,
Female,0.369924253,0.10626027,1.134072546,14,32.60363,20.1,baseline,18:26:48,0.01178931,0.0173493,0.002061357,0.2834458,0.3214481,2/20/20,light,18,,
Female,0.225965924,0.147273278,0.990026229,1006,32.71267,17.6,baseline,18:32:49,0.007803663,0.01735863,0.001915885,0.1786185,0.176837,2/20/20,light,18,,
Female,0.113696042,0.111482946,1.276532433,27,32.70134,21.1,baseline,18:36:49,0.01011946,0.01739858,0.001802261,0.08455265,0.1079342,2/20/20,light,18,,
Female,0.524095808,0.147572408,1.065398192,2,32.69484,15.4,baseline,18:40:49,0.01251774,0.01430235,0.001884299,0.4075342,0.4341862,2/20/20,light,18,,
Female,0.569978417,0.157516969,1.041351039,51,32.65455,23.1,baseline,18:44:49,0.01233941,0.0176775,0.002669145,0.4455269,0.4639499,2/20/20,light,18,,
Female,0.360889296,0.061061246,1.022200429,97,32.62105,21.8,baseline,18:48:49,0.007757553,0.0132445,0.001929899,0.2832693,0.289558,2/20/20,light,18,,
Female,0.541630882,0.141636639,1.076164706,75,32.63424,22.6,baseline,18:52:49,0.01206058,0.02095157,0.002263655,0.420192,0.4521958,2/20/20,light,18,,
Female,0.549372524,0.116820042,1.14062581,14,32.60159,20.1,baseline,18:56:49,0.009814275,0.01443976,0.002390669,0.4203574,0.4794705,2/20/20,light,18,,
Female,0.487467191,0.164076529,0.981465724,1006,32.64555,17.6,baseline,19:00:49,0.05020931,0.06957691,0.007341716,0.3860523,0.3788971,2/20/20,light,19,,
Female,0.515759222,0.123581674,1.063845401,14,32.66157,20.1,baseline,19:04:49,0.01581571,0.0127298,0.001945433,0.4011863,0.4268002,2/20/20,light,19,,
Female,0.581126899,0.108427358,0.974999045,27,32.45757,21.1,baseline,19:08:49,0.01608851,0.01956766,0.001418726,0.4608824,0.4493599,2/20/20,light,19,,
Female,0.495412731,0.147317931,1.046196945,2,31.67945,15.4,baseline,19:12:49,0.01304608,0.01651211,0.001612348,0.3868351,0.4047057,2/20/20,light,19,,
Female,0.439204503,0.065179002,1.026505943,97,30.96787,21.8,baseline,19:16:49,0.009635658,0.01475502,0.002105447,0.3444171,0.3535462,2/20/20,light,19,,
Female,1.113198218,0.18927329,0.979978952,75,30.53107,22.6,baseline,19:20:49,0.0593322,0.05013299,0.003895749,0.8818919,0.8642355,2/20/20,light,19,,
Female,1.198664159,0.213098645,0.993928335,51,30.13318,23.1,baseline,19:24:49,0.02181291,0.03878705,0.001487519,0.9466926,0.9409446,2/20/20,light,19,,
Female,1.228370574,0.181918877,0.93724554,75,27.10062,22.6,baseline,19:28:49,0.03448897,0.03976138,0.00243634,0.9823732,0.9207249,2/20/20,light,19,,
Female,0.54320439,0.076278293,0.939407248,97,25.0757,21.8,baseline,19:32:49,0.02695681,0.04569729,0.001277129,0.434212,0.4079019,2/20/20,light,19,,
Female,1.121504189,0.175983108,0.973128979,51,23.62813,23.1,baseline,19:36:49,0.01321846,0.02160364,0.002272048,0.8898136,0.8659034,2/20/20,light,19,,
Female,1.041749443,0.112542303,0.994384091,14,22.56483,20.1,baseline,19:40:49,0.01245934,0.02626165,0.00131745,0.8226807,0.8180606,2/20/20,light,19,,
Female,0.781393117,0.096090876,0.977276378,2,21.98362,15.4,baseline,19:44:49,0.02675957,0.0256858,9.60E-04,0.6193995,0.6053245,2/20/20,light,19,,
Female,0.610780402,0.094826118,0.880457638,1006,21.21819,17.6,baseline,19:48:49,0.03171409,0.05351339,0.001730321,0.4947058,0.4355675,2/20/20,light,19,,
Female,1.183317504,0.07587299,0.961922455,14,20.0803,20.1,baseline,19:56:49,0.01267514,0.02300094,0.001250624,0.941182,0.9053441,2/20/20,light,19,,
Female,1.166890082,0.079309166,0.963259901,51,19.58675,23.1,baseline,20:00:49,0.02815436,0.02524207,0.001311873,0.9278418,0.8937528,2/20/20,T2,20,,
Female,1.119555445,0.120371664,0.937308536,75,19.25098,22.6,baseline,20:04:49,0.01785382,0.01325811,0.00162718,0.8953372,0.8392072,2/20/20,T2,20,,
Female,0.609951121,0.048715058,0.8327234,1006,18.81692,17.6,baseline,20:08:49,0.0102235,0.01646674,7.72E-04,0.4993986,0.4158609,2/20/20,T2,20,,
Female,1.222411481,0.028017242,0.881781647,2,18.40215,15.4,baseline,20:12:49,0.01455064,0.01800779,0.001166089,0.9898057,0.8727925,2/20/20,T2,20,,
Female,0.830768951,0.012137645,0.84999262,97,18.13075,21.8,baseline,20:16:49,0.01891046,0.03340787,0.001625348,0.677532,0.5758972,2/20/20,T2,20,,
Female,0.732916782,0.010403933,0.857739993,27,17.77492,21.1,baseline,20:20:49,0.009366083,0.01428848,0.001306761,0.5966814,0.5117975,2/20/20,T2,20,,
Female,1.272090307,0.041138086,0.912478506,51,17.57335,23.1,baseline,20:24:49,0.01565199,0.01077463,0.001198102,1.022967,0.9334354,2/20/20,T2,20,,
Female,0.753987547,0.001208806,0.830451459,27,19.09517,21.1,baseline,20:28:49,0.009053376,0.01420914,0.001371746,0.6176479,0.5129266,2/20/20,T2,20,,
Female,0.834396559,0.024301212,0.787691109,1006,21.26378,17.6,baseline,20:32:49,0.01564864,0.0358012,0.001067655,0.6902344,0.5436915,2/20/20,T2,20,,
Female,1.386573721,0.049463389,0.890053585,14,22.62565,20.1,baseline,20:36:49,0.02146315,0.02798472,0.001827716,1.120645,0.9974341,2/20/20,T2,20,,
Female,1.302785777,0.101440314,0.878985553,75,23.61135,22.6,baseline,20:40:49,0.07579112,0.1088002,0.002268379,1.05555,0.9278132,2/20/20,T2,20,,
Female,1.206855928,0.050354204,0.912709454,2,24.2637,15.4,baseline,20:44:49,0.02107385,0.02617283,0.001362526,0.9704579,0.8857461,2/20/20,T2,20,,
Female,0.738079556,0.022835353,0.896376688,97,22.81005,21.8,baseline,20:48:49,0.01210159,0.0203219,0.001503691,0.5956787,0.5339525,2/20/20,T2,20,,
Female,0.790187757,0.057782262,0.906577171,2,20.37794,15.4,baseline,20:52:49,0.01444679,0.02196663,0.001202516,0.6362781,0.5768352,2/20/20,T2,20,,
Female,0.74283308,0.079980627,0.921328392,51,19.1279,23.1,baseline,20:56:49,0.01630979,0.01709316,0.001357003,0.5961795,0.5492771,2/20/20,T2,20,,
Female,1.25051518,0.086043645,0.934120354,14,18.54893,20.1,baseline,21:00:49,0.01486282,0.02970692,0.002265694,1.000778,0.9348471,2/20/20,dark,21,,
Female,0.881309555,0.099876075,0.881561363,75,18.08915,22.6,baseline,21:04:49,0.01201392,0.02200303,0.001483845,0.7136455,0.6291223,2/20/20,dark,21,,
Female,0.825047524,0.017019773,0.869467054,27,17.55475,21.1,baseline,21:08:49,0.01273933,0.02315536,0.001348534,0.6699098,0.5824645,2/20/20,dark,21,,
Female,0.971126527,0.031843889,0.858269352,1006,18.98885,17.6,baseline,21:12:49,0.01470934,0.01979309,0.001012614,0.7905178,0.6784772,2/20/20,dark,21,,
Female,0.654400779,0.017254301,0.828133885,97,21.50658,21.8,baseline,21:16:49,0.009286799,0.02051883,9.82E-04,0.5363518,0.4441711,2/20/20,dark,21,,
Female,1.543999973,0.063128786,0.841698921,2,22.55637,15.4,baseline,21:20:49,0.1412425,0.1199741,0.002990086,1.261577,1.061868,2/20/20,dark,21,,
