"V1","V2","V3","pheno","mod","tissue"
"GO:0007275","multicellular organism development","4643","mean_EE","blue","lu"
"GO:0009894","regulation of catabolic process","1026","mean_EE","blue","lu"
"GO:0048584","positive regulation of response to stimulus","2274","mean_EE","blue","lu"
"GO:0044281","small molecule metabolic process","1813","TCO2","green","lu"
"GO:0055086","nucleobase-containing small molecule metabolic process","677","TCO2","green","lu"
"GO:0016125","sterol metabolic process","152","TCO2","green","lu"
"GO:0071466","cellular response to xenobiotic stimulus","192","TCO2","green","lu"
"GO:0006720","isoprenoid metabolic process","137","TCO2","green","lu"
"GO:0005759","mitochondrial matrix","496","TCO2","green","lu"
"GO:0022603","regulation of anatomical structure morphogenesis","838","mean_EE","grey60","lu"
"GO:0120036","plasma membrane bounded cell projection organization","1570","mean_EE","grey60","lu"
"GO:0042273","ribosomal large subunit biogenesis","75","mean_EE","lightcyan","lu"
"GO:0046907","intracellular transport","1371","mean_EE","lightcyan","lu"
"GO:0005615","extracellular space","3303","mean_EE","lightcyan","lu"
"GO:0005515","protein binding","14838","mean_EE","brown","lu"
"GO:0023052","signaling","6447","iCa","turquoise","lu"
"GO:0005886","plasma membrane","5742","iCa","turquoise","lu"
"GO:0016020","membrane","9864","iCa","turquoise","lu"
"GO:0001775","cell activation","1092","mean_EE","red","lu"
"GO:0002376","immune system process","2776","mean_EE","red","lu"
"GO:0006955","immune response","1988","mean_EE","red","lu"
"GO:0031982","vesicle","4004","mean_EE","red","lu"
"GO:0071944","cell periphery","6228","mean_EE","red","lu"
"GO:0005886","plasma membrane","5742","mean_EE","red","lu"
"GO:0031410","cytoplasmic vesicle","2513","mean_EE","red","lu"
"GO:0097708","intracellular vesicle","2518","mean_EE","red","lu"
"GO:0016020","membrane","9864","mean_EE","red","lu"
"GO:0000323","lytic vacuole","762","mean_EE","red","lu"
"GO:0005764","lysosome","762","mean_EE","red","lu"
"GO:0005773","vacuole","855","mean_EE","red","lu"
"GO:0002181","cytoplasmic translation","156","mean_EE","tan","lu"
"GO:0005654","nucleoplasm","4220","mean_EE","tan","lu"
"GO:0005515","protein binding","14838","mean_EE","tan","lu"
"GO:0048511","rhythmic process","298","mean_H2Omg","yellow","lu"
"GO:0032922","circadian regulation of gene expression","70","mean_H2Omg","yellow","lu"
"GO:0007623","circadian rhythm","205","mean_H2Omg","yellow","lu"
"GO:0042752","regulation of circadian rhythm","113","mean_H2Omg","yellow","lu"
"GO:0043153","entrainment of circadian clock by photoperiod","24","mean_H2Omg","yellow","lu"
"GO:0009648","photoperiodism","27","mean_H2Omg","yellow","lu"
"GO:0009649","entrainment of circadian clock","29","mean_H2Omg","yellow","lu"
"GO:0070888","E-box binding","59","mean_H2Omg","yellow","lu"
"GO:0031981","nuclear lumen","5521","mean_RQ","magenta","lu"
"GO:0006950","response to stress","3855","Hb.","cyan","lu"
"GO:0009605","response to external stimulus","2723","Hb.","cyan","lu"
"GO:0051707","response to other organism","1548","Hb.","cyan","lu"
"GO:0043207","response to external biotic stimulus","1551","Hb.","cyan","lu"
"GO:0140546","defense response to symbiont","1113","Hb.","cyan","lu"
"GO:0002682","regulation of immune system process","1512","Hb.","cyan","lu"
"GO:0031347","regulation of defense response","768","Hb.","cyan","lu"
"GO:0001775","cell activation","1092","Hb.","cyan","lu"
"GO:0048584","positive regulation of response to stimulus","2274","Hb.","cyan","lu"
"GO:0000323","lytic vacuole","762","Hb.","cyan","lu"
"GO:0005764","lysosome","762","Hb.","cyan","lu"
"GO:0002376","immune system process","2776","AnGap","purple","lu"
"GO:0006955","immune response","1988","AnGap","purple","lu"
"GO:0060255","regulation of macromolecule metabolic process","6631","mean_EE","blue","lu"
"GO:0034440","lipid oxidation","115","TCO2","green","lu"
"GO:0071363","cellular response to growth factor stimulus","681","mean_EE","grey60","lu"
"GO:0046649","lymphocyte activation","783","mean_EE","red","lu"
"GO:0002252","immune effector process","698","mean_EE","red","lu"
"GO:0002253","activation of immune response","531","mean_H2Omg","greenyellow","lu"
"GO:0046631","alpha-beta T cell activation","178","mean_H2Omg","greenyellow","lu"
"GO:0042102","positive regulation of T cell proliferation","103","mean_H2Omg","greenyellow","lu"
"GO:0070887","cellular response to chemical stimulus","2683","Hb.","cyan","lu"
"GO:0002237","response to molecule of bacterial origin","354","Hb.","cyan","lu"
"GO:0009615","response to virus","406","Hct","midnightblue","lu"
"GO:0019079","viral genome replication","128","Hct","midnightblue","lu"
"GO:0060337","type I interferon-mediated signaling pathway","81","Hct","midnightblue","lu"
"GO:0045824","negative regulation of innate immune response","82","Hct","midnightblue","lu"
"GO:0002758","innate immune response-activating signaling pathway","258","Hct","midnightblue","lu"
"GO:0006793","phosphorus metabolic process","2596","mean_EE","black","hyp"
"GO:0008219","cell death","1988","mean_EE","black","hyp"
"GO:0006629","lipid metabolic process","1388","mean_EE","black","hyp"
"GO:0120036","plasma membrane bounded cell projection organization","1570","mean_EE","black","hyp"
"GO:0042273","ribosomal large subunit biogenesis","75","mean_EE","black","hyp"
"GO:1901605","alpha-amino acid metabolic process","215","mean_H2Omg","magenta","hyp"
"GO:0042221","response to chemical","3957","mean_H2Omg","magenta","hyp"
"GO:0061045","negative regulation of wound healing","71","mean_H2Omg","magenta","hyp"
"GO:0016125","sterol metabolic process","152","mean_H2Omg","magenta","hyp"
"GO:0098916","anterograde trans-synaptic signaling","750","BUN","cyan","hyp"
"GO:0007268","chemical synaptic transmission","750","BUN","cyan","hyp"
"GO:0005886","plasma membrane","5742","BUN","cyan","hyp"
"GO:0046907","intracellular transport","1371","mean_EE","turquoise","hyp"
"GO:0005654","nucleoplasm","4220","mean_EE","turquoise","hyp"
"GO:1903561","extracellular vesicle","2133","iCa","salmon","hyp"
"GO:0065010","extracellular membrane-bounded organelle","2134","iCa","salmon","hyp"
"GO:0043230","extracellular organelle","2134","iCa","salmon","hyp"
"GO:0042995","cell projection","2389","trt","purple","hyp"
"GO:0005886","plasma membrane","5742","trt","purple","hyp"
"GO:0071944","cell periphery","6228","sex","yellow","hyp"
"GO:0005886","plasma membrane","5742","sex","yellow","hyp"
"GO:0051641","cellular localization","3621","mean_RQ","pink","hyp"
"GO:0005737","cytoplasm","12345","mean_RQ","pink","hyp"
"GO:0012505","endomembrane system","4777","mean_RQ","pink","hyp"
"GO:0031410","cytoplasmic vesicle","2513","mean_RQ","pink","hyp"
"GO:0097708","intracellular vesicle","2518","mean_RQ","pink","hyp"
"GO:0005515","protein binding","14838","mean_RQ","pink","hyp"
"GO:0005737","cytoplasm","12345","trt","red","hyp"
"GO:0005615","extracellular space","3303","mean_EE","tan","hyp"
"GO:1903561","extracellular vesicle","2133","mean_EE","tan","hyp"
"GO:0043230","extracellular organelle","2134","mean_EE","tan","hyp"
"GO:0065010","extracellular membrane-bounded organelle","2134","mean_EE","tan","hyp"
"GO:0071944","cell periphery","6228","mean_EE","tan","hyp"
"GO:0044282","small molecule catabolic process","379","mean_EE","black","hyp"
"GO:0050817","coagulation","233","mean_H2Omg","magenta","hyp"
"GO:0055088","lipid homeostasis","162","mean_H2Omg","magenta","hyp"
"GO:0062012","regulation of small molecule metabolic process","316","mean_H2Omg","magenta","hyp"
"GO:0046461","neutral lipid catabolic process","37","mean_H2Omg","magenta","hyp"
"GO:0072378","blood coagulation, fibrin clot formation","16","mean_H2Omg","magenta","hyp"
"GO:0007399","nervous system development","2531","trt","purple","hyp"
"GO:0140993","histone modifying activity","212","mean_EE","turquoise","hyp"
"GO:0006914","autophagy","577","mean_RQ","pink","hyp"
"GO:0006629","lipid metabolic process","1388","mean_H2Omg","blue","gi"
"GO:0009117","nucleotide metabolic process","601","mean_H2Omg","blue","gi"
"GO:0016020","membrane","9864","mean_H2Omg","blue","gi"
"GO:0031982","vesicle","4004","mean_H2Omg","blue","gi"
